boolean is Datatype.
WesternSahara DisjointClasses BalanceFactor,DeleriumFactor,HistoryOfFallsFactor,MedicationsFactor,MobilityFactor,SedationFactor,UrgeIncontinenceFactor.
WesternSahara DisjointClasses Braden,Douglas,DutchConsensusScoreCbo,Gosnell,Knoll,Norton,PressureSorePredictionScorePsps,ResidentAssessmentInstrument,Tinetti,Waterlow.
WesternSahara DisjointClasses Downton,Innes,Morse,Schimd,Stratify,TinettiAssessmentTool.
WesternSahara DisjointClasses EnvironmentalFallMinimisationStrategy,ProceduralDevice,StructuralDevice.
Activity,HumanBodyAnatomicalPart,HumanBodySide,BuildingStructure,FloorSurface,www.ICPS/ontologies/Clothing.# is MinimisationStrategy,RiskAssessment,RiskAssessmentResult,RiskAssessmentTool,SkinInspection,www.ICPS/ontologies/Activity.#.
Activity,BuildingStructure,FloorSurface,www.ICPS/ontologies/Clothing.# is www.ICPS/ontologies/Activity.#.
PathophysiologyFactor,HospitalArea is FloorSurface,www.ICPS/ontologies/HospitalEquipment.#.
PathophysiologyFactor,ConfirmedStatusOfFall,HospitalArea is www.ICPS/ontologies/HospitalEquipment.#.
PathophysiologyFactor,FallHeight,HospitalArea is www.ICPS/ontologies/HospitalEquipment.#.
PathophysiologyFactor,FallMechanism,HospitalArea is www.ICPS/ontologies/HospitalEquipment.#.
PathophysiologyFactor,FallMechanism,HospitalArea DisjointClasses AlarmMatFailure,BedrailsFailure,CallBellFailure,HipProtectorFailure,ImpactFloormatFailure,MobilityAidFailure,PersonalAlertFailure,RestraintFailure,SafetyHelmetFailure.
PathophysiologyFactor,FallMechanism,HospitalArea DisjointClasses Blood-BloodProduct,ClinicalAdministration,ClinicalProcess,Documentation,Fall,HealCareAssociatedInfection,Infrastructure-Building-Fixture,MedicalDevice-Equipment,Medication-IVFluid,Nutrition,Oxigen-Gas-Vapour,Pathology-Laboratory,PatientAccident,PatientBehaviour,PressureUlcer,Resource-OrganizationalManagement.
