RO_0002481 is ObjectProperty.
VBO_0011371 SubClassOf VBO_0000931.
VBO_0011374 is Class.
VBO_0011374 SubClassOf VBO_0000931.
VBO_0011375 is Class.
VBO_0011375 SubClassOf VBO_0000931.
VBO_0011376 is Class.
VBO_0011376 SubClassOf VBO_0000931.
VBO_0011377 is Class.
VBO_0011377 SubClassOf VBO_0000931.
VBO_0011378 is Class.
VBO_0011378 SubClassOf VBO_0000931.
VBO_0011381 is Class.
VBO_0011381 SubClassOf VBO_0000931.
VBO_0011386 is Class.
VBO_0011386 SubClassOf VBO_0000931.
VBO_0011387 is Class.
VBO_0011387 SubClassOf VBO_0000931.
VBO_0011388 is Class.
VBO_0011388 SubClassOf VBO_0000931.
VBO_0011389 is Class.
VBO_0011389 SubClassOf VBO_0000931.
VBO_0011390 is Class.
VBO_0011390 SubClassOf VBO_0000931.
VBO_0011391 is Class.
VBO_0011391 SubClassOf VBO_0000931.
VBO_0011392 is Class.
VBO_0011392 SubClassOf VBO_0000931.
VBO_0011393 is Class.
VBO_0011393 SubClassOf VBO_0000931.
VBO_0011396 is Class.
VBO_0011396 SubClassOf VBO_0000931.
VBO_0011397 is Class.
VBO_0011397 SubClassOf VBO_0000931.
VBO_0011398 is Class.
VBO_0011398 SubClassOf VBO_0000931.
VBO_0011399 is Class.
VBO_0011399 SubClassOf VBO_0000931.
VBO_0011400 is Class.
VBO_0011400 SubClassOf VBO_0000931.
VBO_0011403 is Class.
VBO_0011403 SubClassOf VBO_0000931.
VBO_0011404 is Class.
VBO_0011404 SubClassOf VBO_0000931.
VBO_0011405 is Class.
VBO_0011405 SubClassOf VBO_0000931.
VBO_0011406 is Class.
VBO_0011406 SubClassOf VBO_0000931.
VBO_0011407 is Class.
VBO_0011407 SubClassOf VBO_0000931.
VBO_0011408 is Class.
VBO_0011408 SubClassOf VBO_0000931.
VBO_0011410 is Class.
VBO_0011410 SubClassOf VBO_0000931.
VBO_0011411 is Class.
VBO_0011411 SubClassOf VBO_0000931.
VBO_0011412 is Class.
VBO_0011412 SubClassOf VBO_0000931.
VBO_0011413 is Class.
VBO_0011413 SubClassOf VBO_0000931.
VBO_0011415 is Class.
VBO_0011415 SubClassOf VBO_0000931.
VBO_0011416 is Class.
VBO_0011416 SubClassOf VBO_0000931.
VBO_0011417 is Class.
VBO_0011417 SubClassOf VBO_0000931.
VBO_0011419 is Class.
VBO_0011419 SubClassOf VBO_0000931.
VBO_0011420 is Class.
VBO_0011420 SubClassOf VBO_0000931.
VBO_0011421 is Class.
VBO_0011421 SubClassOf VBO_0000931.
VBO_0011422 is Class.
VBO_0011422 SubClassOf VBO_0000931.
VBO_0011423 is Class.
VBO_0011423 SubClassOf VBO_0000931.
VBO_0011424 is Class.
VBO_0011424 SubClassOf VBO_0000931.
VBO_0011425 is Class.
VBO_0011425 SubClassOf VBO_0000931.
VBO_0011426 is Class.
VBO_0011426 SubClassOf VBO_0000931.
VBO_0011427 is Class.
VBO_0011427 SubClassOf VBO_0000931.
VBO_0011428 is Class.
VBO_0011428 SubClassOf VBO_0000931.
VBO_0011429 is Class.
VBO_0011429 SubClassOf VBO_0000931.
VBO_0011430 is Class.
VBO_0011430 SubClassOf VBO_0000931.
VBO_0011431 is Class.
VBO_0011431 SubClassOf VBO_0000931.
VBO_0011432 is Class.
VBO_0011432 SubClassOf VBO_0000931.
VBO_0011433 is Class.
VBO_0011433 SubClassOf VBO_0000931.
VBO_0011434 is Class.
VBO_0011434 SubClassOf VBO_0000931.
VBO_0011435 is Class.
VBO_0011435 SubClassOf VBO_0000931.
VBO_0011436 is Class.
VBO_0011436 SubClassOf VBO_0000931.
VBO_0011437 is Class.
VBO_0011437 SubClassOf VBO_0000931.
VBO_0011438 is Class.
VBO_0011438 SubClassOf VBO_0000931.
VBO_0011439 is Class.
VBO_0011439 SubClassOf VBO_0000931.
VBO_0011440 is Class.
VBO_0011440 SubClassOf VBO_0000931.
VBO_0011441 is Class.
VBO_0011441 SubClassOf VBO_0000931.
VBO_0011442 is Class.
VBO_0011442 SubClassOf VBO_0000931.
VBO_0011443 is Class.
VBO_0011443 SubClassOf VBO_0000931.
VBO_0011444 is Class.
VBO_0011444 SubClassOf VBO_0000931.
VBO_0011445 is Class.
VBO_0011445 SubClassOf VBO_0000931.
VBO_0011446 is Class.
VBO_0011446 SubClassOf VBO_0000931.
VBO_0011447 is Class.
VBO_0011447 SubClassOf VBO_0000931.
VBO_0011448 is Class.
VBO_0011448 SubClassOf VBO_0000931.
VBO_0011450 is Class.
VBO_0011450 SubClassOf VBO_0000931.
VBO_0011451 is Class.
VBO_0011451 SubClassOf VBO_0000931.
VBO_0011452 is Class.
VBO_0011452 SubClassOf VBO_0000931.
VBO_0011453 is Class.
VBO_0011453 SubClassOf VBO_0000931.
VBO_0011454 is Class.
VBO_0011454 SubClassOf VBO_0000931.
VBO_0011456 is Class.
VBO_0011456 SubClassOf VBO_0000931.
VBO_0011457 is Class.
VBO_0011457 SubClassOf VBO_0000931.
VBO_0011458 is Class.
VBO_0011458 SubClassOf VBO_0000931.
VBO_0011459 is Class.
VBO_0011459 SubClassOf VBO_0000931.
VBO_0011460 is Class.
VBO_0011460 SubClassOf VBO_0000931.
VBO_0011461 is Class.
VBO_0011461 SubClassOf VBO_0000931.
VBO_0011462 is Class.
VBO_0011462 SubClassOf VBO_0000931.
VBO_0011463 is Class.
VBO_0011463 SubClassOf VBO_0000931.
VBO_0011464 is Class.
VBO_0011464 SubClassOf VBO_0000931.
VBO_0011465 is Class.
VBO_0011465 SubClassOf VBO_0000931.
VBO_0011466 is Class.
VBO_0011466 SubClassOf VBO_0000931.
VBO_0011467 is Class.
VBO_0011467 SubClassOf VBO_0000931.
VBO_0011469 is Class.
VBO_0011469 SubClassOf VBO_0000931.
VBO_0011470 is Class.
VBO_0011470 SubClassOf VBO_0000931.
VBO_0011471 is Class.
VBO_0011471 SubClassOf VBO_0000931.
VBO_0011472 is Class.
VBO_0011472 SubClassOf VBO_0000931.
VBO_0011473 is Class.
VBO_0011473 SubClassOf VBO_0000931.
VBO_0011474 is Class.
VBO_0011474 SubClassOf VBO_0000931.
VBO_0011475 is Class.
VBO_0011475 SubClassOf VBO_0000931.
VBO_0011476 is Class.
VBO_0011476 SubClassOf VBO_0000931.
VBO_0011477 is Class.
VBO_0011477 SubClassOf VBO_0000931.
VBO_0011478 is Class.
VBO_0011478 SubClassOf VBO_0000931.
VBO_0011479 is Class.
VBO_0011479 SubClassOf VBO_0000931.
VBO_0011480 is Class.
VBO_0011480 SubClassOf VBO_0000931.
VBO_0011481 is Class.
VBO_0011481 SubClassOf VBO_0000931.
VBO_0011482 is Class.
VBO_0011482 SubClassOf VBO_0000931.
VBO_0011483 is Class.
VBO_0011483 SubClassOf VBO_0000931.
VBO_0011484 is Class.
VBO_0011484 SubClassOf VBO_0000931.
VBO_0011485 is Class.
VBO_0011485 SubClassOf VBO_0000931.
VBO_0011486 is Class.
VBO_0011486 SubClassOf VBO_0000931.
VBO_0011487 is Class.
VBO_0011487 SubClassOf VBO_0000931.
VBO_0011488 is Class.
VBO_0011488 SubClassOf VBO_0000931.
VBO_0011489 is Class.
VBO_0011489 SubClassOf VBO_0000931.
VBO_0011490 is Class.
VBO_0011490 SubClassOf VBO_0000931.
VBO_0011491 is Class.
VBO_0011491 SubClassOf VBO_0000931.
VBO_0011492 is Class.
VBO_0011492 SubClassOf VBO_0000931.
VBO_0011493 is Class.
VBO_0011493 SubClassOf VBO_0000931.
VBO_0011494 is Class.
VBO_0011494 SubClassOf VBO_0000931.
VBO_0011495 is Class.
VBO_0011495 SubClassOf VBO_0000931.
VBO_0011496 is Class.
VBO_0011496 SubClassOf VBO_0000931.
VBO_0011497 is Class.
VBO_0011497 SubClassOf VBO_0000931.
VBO_0011499 is Class.
VBO_0011499 SubClassOf VBO_0000931.
VBO_0011500 is Class.
VBO_0011500 SubClassOf VBO_0000931.
VBO_0011501 is Class.
VBO_0011501 SubClassOf VBO_0000931.
VBO_0011502 is Class.
VBO_0011502 SubClassOf VBO_0000931.
VBO_0011503 is Class.
VBO_0011503 SubClassOf VBO_0000931.
VBO_0011504 is Class.
VBO_0011504 SubClassOf VBO_0000931.
VBO_0011505 is Class.
VBO_0011505 SubClassOf VBO_0000931.
VBO_0011506 is Class.
VBO_0011506 SubClassOf VBO_0000931.
VBO_0011507 is Class.
VBO_0011507 SubClassOf VBO_0000931.
VBO_0011508 is Class.
VBO_0011508 SubClassOf VBO_0000931.
VBO_0011509 is Class.
VBO_0011509 SubClassOf VBO_0000931.
VBO_0011510 is Class.
VBO_0011510 SubClassOf VBO_0000931.
VBO_0011511 is Class.
VBO_0011511 SubClassOf VBO_0000931.
VBO_0011515 is Class.
VBO_0011515 SubClassOf VBO_0000931.
VBO_0011516 is Class.
VBO_0011516 SubClassOf VBO_0000931.
VBO_0011517 is Class.
VBO_0011517 SubClassOf VBO_0000931.
VBO_0011518 is Class.
VBO_0011518 SubClassOf VBO_0000931.
VBO_0011519 is Class.
VBO_0011519 SubClassOf VBO_0000931.
VBO_0011520 is Class.
VBO_0011520 SubClassOf VBO_0000931.
VBO_0011521 is Class.
VBO_0011521 SubClassOf VBO_0000931.
VBO_0011522 is Class.
VBO_0011522 SubClassOf VBO_0000931.
VBO_0011523 is Class.
VBO_0011523 SubClassOf VBO_0000931.
VBO_0011524 is Class.
VBO_0011524 SubClassOf VBO_0000931.
VBO_0011525 is Class.
VBO_0011525 SubClassOf VBO_0000931.
VBO_0011526 is Class.
VBO_0011526 SubClassOf VBO_0000931.
VBO_0011528 is Class.
VBO_0011528 SubClassOf VBO_0000931.
VBO_0011529 is Class.
VBO_0011529 SubClassOf VBO_0000931.
VBO_0011530 is Class.
VBO_0011530 SubClassOf VBO_0000931.
VBO_0011531 is Class.
VBO_0011531 SubClassOf VBO_0000931.
VBO_0011532 is Class.
VBO_0011532 SubClassOf VBO_0000931.
VBO_0011533 is Class.
VBO_0011533 SubClassOf VBO_0000931.
VBO_0011534 is Class.
VBO_0011534 SubClassOf VBO_0000931.
VBO_0011535 is Class.
VBO_0011535 SubClassOf VBO_0000931.
VBO_0011536 is Class.
VBO_0011536 SubClassOf VBO_0000931.
VBO_0011537 is Class.
VBO_0011537 SubClassOf VBO_0000931.
VBO_0011539 is Class.
VBO_0011539 SubClassOf VBO_0000931.
VBO_0011540 is Class.
VBO_0011540 SubClassOf VBO_0000931.
VBO_0011541 is Class.
VBO_0011541 SubClassOf VBO_0000931.
VBO_0011542 is Class.
VBO_0011542 SubClassOf VBO_0000931.
VBO_0011543 is Class.
VBO_0011543 SubClassOf VBO_0000931.
VBO_0011544 is Class.
VBO_0011544 SubClassOf VBO_0000931.
VBO_0011545 is Class.
VBO_0011545 SubClassOf VBO_0000931.
VBO_0011546 is Class.
VBO_0011546 SubClassOf VBO_0000931.
VBO_0011547 is Class.
VBO_0011547 SubClassOf VBO_0000931.
VBO_0011548 is Class.
VBO_0011548 SubClassOf VBO_0000931.
VBO_0011549 is Class.
VBO_0011549 SubClassOf VBO_0000931.
VBO_0011550 is Class.
VBO_0011550 SubClassOf VBO_0000931.
VBO_0011551 is Class.
VBO_0011551 SubClassOf VBO_0000931.
VBO_0011552 is Class.
VBO_0011552 SubClassOf VBO_0000931.
VBO_0011553 is Class.
VBO_0011553 SubClassOf VBO_0000931.
VBO_0011554 is Class.
VBO_0011554 SubClassOf VBO_0000931.
VBO_0011555 is Class.
VBO_0011555 SubClassOf VBO_0000931.
VBO_0011556 is Class.
VBO_0011556 SubClassOf VBO_0000931.
VBO_0011557 is Class.
VBO_0011557 SubClassOf VBO_0000931.
VBO_0011558 is Class.
VBO_0011558 SubClassOf VBO_0000931.
VBO_0011559 is Class.
VBO_0011559 SubClassOf VBO_0000931.
VBO_0011561 is Class.
VBO_0011561 SubClassOf VBO_0000931.
VBO_0011563 is Class.
VBO_0011563 SubClassOf VBO_0000931.
VBO_0011564 is Class.
VBO_0011564 SubClassOf VBO_0000931.
VBO_0011565 is Class.
VBO_0011565 SubClassOf VBO_0000931.
VBO_0011566 is Class.
VBO_0011566 SubClassOf VBO_0000931.
VBO_0011567 is Class.
VBO_0011567 SubClassOf VBO_0000931.
VBO_0011568 is Class.
VBO_0011568 SubClassOf VBO_0000931.
VBO_0011569 is Class.
VBO_0011569 SubClassOf VBO_0000931.
VBO_0011570 is Class.
VBO_0011570 SubClassOf VBO_0000931.
VBO_0011571 is Class.
VBO_0011571 SubClassOf VBO_0000931.
VBO_0011572 is Class.
VBO_0011572 SubClassOf VBO_0000931.
VBO_0011573 is Class.
VBO_0011573 SubClassOf VBO_0000931.
VBO_0011574 is Class.
VBO_0011574 SubClassOf VBO_0000931.
VBO_0011575 is Class.
VBO_0011575 SubClassOf VBO_0000931.
VBO_0011576 is Class.
VBO_0011576 SubClassOf VBO_0000931.
VBO_0011577 is Class.
VBO_0011577 SubClassOf VBO_0000931.
VBO_0011578 is Class.
VBO_0011578 SubClassOf VBO_0000931.
VBO_0011579 is Class.
VBO_0011579 SubClassOf VBO_0000931.
VBO_0011580 is Class.
VBO_0011580 SubClassOf VBO_0000931.
VBO_0011581 is Class.
VBO_0011581 SubClassOf VBO_0000931.
VBO_0011582 is Class.
VBO_0011582 SubClassOf VBO_0000931.
VBO_0011583 is Class.
VBO_0011583 SubClassOf VBO_0000931.
VBO_0011584 is Class.
VBO_0011584 SubClassOf VBO_0000931.
VBO_0011585 is Class.
VBO_0011585 SubClassOf VBO_0000931.
VBO_0011586 is Class.
VBO_0011586 SubClassOf VBO_0000931.
VBO_0011587 is Class.
VBO_0011587 SubClassOf VBO_0000931.
VBO_0011589 is Class.
VBO_0011589 SubClassOf VBO_0000931.
VBO_0011590 is Class.
VBO_0011590 SubClassOf VBO_0000931.
VBO_0011591 is Class.
VBO_0011591 SubClassOf VBO_0000931.
VBO_0011592 is Class.
VBO_0011592 SubClassOf VBO_0000931.
VBO_0011593 is Class.
VBO_0011593 SubClassOf VBO_0000931.
VBO_0011594 is Class.
VBO_0011594 SubClassOf VBO_0000931.
VBO_0011595 is Class.
VBO_0011595 SubClassOf VBO_0000931.
VBO_0011596 is Class.
VBO_0011596 SubClassOf VBO_0000931.
VBO_0011597 is Class.
VBO_0011597 SubClassOf VBO_0000931.
VBO_0011598 is Class.
VBO_0011598 SubClassOf VBO_0000931.
VBO_0011599 is Class.
VBO_0011599 SubClassOf VBO_0000931.
VBO_0011604 is Class.
VBO_0011604 SubClassOf VBO_0000931.
VBO_0011609 is Class.
VBO_0011609 SubClassOf VBO_0000931.
VBO_0011612 is Class.
VBO_0011612 SubClassOf VBO_0000931.
VBO_0011613 is Class.
VBO_0011613 SubClassOf VBO_0000931.
VBO_0011615 is Class.
VBO_0011615 SubClassOf VBO_0000931.
VBO_0011616 is Class.
VBO_0011616 SubClassOf VBO_0000931.
VBO_0011618 is Class.
VBO_0011618 SubClassOf VBO_0000931.
VBO_0011619 is Class.
VBO_0011619 SubClassOf VBO_0000931.
VBO_0011620 is Class.
VBO_0011620 SubClassOf VBO_0000931.
VBO_0011623 is Class.
VBO_0011623 SubClassOf VBO_0000931.
VBO_0011624 is Class.
VBO_0011624 SubClassOf VBO_0000931.
VBO_0011625 is Class.
VBO_0011625 SubClassOf VBO_0000931.
VBO_0011626 is Class.
VBO_0011626 SubClassOf VBO_0000931.
VBO_0011627 is Class.
VBO_0011627 SubClassOf VBO_0000931.
VBO_0011628 is Class.
VBO_0011628 SubClassOf VBO_0000931.
VBO_0011629 is Class.
VBO_0011629 SubClassOf VBO_0000931.
VBO_0011630 is Class.
VBO_0011630 SubClassOf VBO_0000931.
VBO_0011631 is Class.
VBO_0011631 SubClassOf VBO_0000931.
VBO_0011632 is Class.
VBO_0011632 SubClassOf VBO_0000931.
VBO_0011634 is Class.
VBO_0011634 SubClassOf VBO_0000931.
VBO_0011636 is Class.
VBO_0011636 SubClassOf VBO_0000931.
VBO_0011637 is Class.
VBO_0011637 SubClassOf VBO_0000931.
VBO_0011638 is Class.
VBO_0011638 SubClassOf VBO_0000931.
VBO_0011639 is Class.
VBO_0011639 SubClassOf VBO_0000931.
VBO_0011640 is Class.
VBO_0011640 SubClassOf VBO_0000931.
VBO_0011641 is Class.
VBO_0011641 SubClassOf VBO_0000931.
VBO_0011642 is Class.
VBO_0011642 SubClassOf VBO_0000931.
VBO_0011643 is Class.
VBO_0011643 SubClassOf VBO_0000931.
VBO_0011644 is Class.
VBO_0011644 SubClassOf VBO_0000931.
VBO_0011645 is Class.
VBO_0011645 SubClassOf VBO_0000931.
VBO_0011646 is Class.
VBO_0011646 SubClassOf VBO_0000931.
VBO_0011647 is Class.
VBO_0011647 SubClassOf VBO_0000931.
VBO_0011648 is Class.
VBO_0011648 SubClassOf VBO_0000931.
VBO_0011649 is Class.
VBO_0011649 SubClassOf VBO_0000931.
VBO_0011650 is Class.
VBO_0011650 SubClassOf VBO_0000931.
VBO_0011651 is Class.
VBO_0011651 SubClassOf VBO_0000931.
VBO_0011652 is Class.
VBO_0011652 SubClassOf VBO_0000931.
VBO_0011653 is Class.
VBO_0011653 SubClassOf VBO_0000931.
VBO_0011655 is Class.
VBO_0011655 SubClassOf VBO_0000931.
VBO_0011656 is Class.
VBO_0011656 SubClassOf VBO_0000931.
VBO_0011658 is Class.
VBO_0011658 SubClassOf VBO_0000931.
VBO_0011659 is Class.
VBO_0011659 SubClassOf VBO_0000931.
VBO_0011660 is Class.
VBO_0011660 SubClassOf VBO_0000931.
VBO_0011661 is Class.
VBO_0011661 SubClassOf VBO_0000931.
VBO_0011665 is Class.
VBO_0011665 SubClassOf VBO_0000931.
VBO_0011666 is Class.
VBO_0011666 SubClassOf VBO_0000931.
VBO_0011667 is Class.
VBO_0011667 SubClassOf VBO_0000931.
VBO_0011668 is Class.
VBO_0011668 SubClassOf VBO_0000931.
VBO_0011669 is Class.
VBO_0011669 SubClassOf VBO_0000931.
VBO_0011670 is Class.
VBO_0011670 SubClassOf VBO_0000931.
VBO_0011672 is Class.
VBO_0011672 SubClassOf VBO_0000931.
VBO_0011673 is Class.
VBO_0011673 SubClassOf VBO_0000931.
VBO_0011674 is Class.
VBO_0011674 SubClassOf VBO_0000931.
VBO_0011676 is Class.
VBO_0011676 SubClassOf VBO_0000931.
VBO_0011677 is Class.
VBO_0011677 SubClassOf VBO_0000931.
VBO_0011678 is Class.
VBO_0011678 SubClassOf VBO_0000931.
VBO_0011679 is Class.
VBO_0011679 SubClassOf VBO_0000931.
VBO_0011680 is Class.
VBO_0011680 SubClassOf VBO_0000931.
VBO_0011681 is Class.
VBO_0011681 SubClassOf VBO_0000931.
VBO_0011682 is Class.
VBO_0011682 SubClassOf VBO_0000931.
VBO_0011683 is Class.
VBO_0011683 SubClassOf VBO_0000931.
VBO_0011684 is Class.
VBO_0011684 SubClassOf VBO_0000931.
VBO_0011685 is Class.
VBO_0011685 SubClassOf VBO_0000931.
VBO_0011686 is Class.
VBO_0011686 SubClassOf VBO_0000931.
VBO_0011688 is Class.
VBO_0011688 SubClassOf VBO_0000931.
VBO_0011689 is Class.
VBO_0011689 SubClassOf VBO_0000931.
VBO_0011691 is Class.
VBO_0011691 SubClassOf VBO_0000931.
VBO_0011692 is Class.
VBO_0011692 SubClassOf VBO_0000931.
VBO_0011693 is Class.
VBO_0011693 SubClassOf VBO_0000931.
VBO_0011695 is Class.
VBO_0011695 SubClassOf VBO_0000931.
VBO_0011696 is Class.
VBO_0011696 SubClassOf VBO_0000931.
VBO_0011697 is Class.
VBO_0011697 SubClassOf VBO_0000931.
VBO_0011698 is Class.
VBO_0011698 SubClassOf VBO_0000931.
VBO_0011699 is Class.
VBO_0011699 SubClassOf VBO_0000931.
VBO_0011700 is Class.
VBO_0011700 SubClassOf VBO_0000931.
VBO_0011701 is Class.
VBO_0011701 SubClassOf VBO_0000931.
VBO_0011702 is Class.
VBO_0011702 SubClassOf VBO_0000931.
VBO_0011703 is Class.
VBO_0011703 SubClassOf VBO_0000931.
VBO_0011704 is Class.
VBO_0011704 SubClassOf VBO_0000931.
VBO_0011705 is Class.
VBO_0011705 SubClassOf VBO_0000931.
VBO_0011706 is Class.
VBO_0011706 SubClassOf VBO_0000931.
VBO_0011707 is Class.
VBO_0011707 SubClassOf VBO_0000931.
VBO_0011708 is Class.
VBO_0011708 SubClassOf VBO_0000931.
VBO_0011709 is Class.
VBO_0011709 SubClassOf VBO_0000931.
VBO_0011710 is Class.
VBO_0011710 SubClassOf VBO_0000931.
VBO_0011711 is Class.
VBO_0011711 SubClassOf VBO_0000931.
VBO_0011712 is Class.
VBO_0011712 SubClassOf VBO_0000931.
VBO_0011713 is Class.
VBO_0011713 SubClassOf VBO_0000931.
VBO_0011714 is Class.
VBO_0011714 SubClassOf VBO_0000931.
VBO_0011715 is Class.
VBO_0011715 SubClassOf VBO_0000931.
VBO_0011716 is Class.
VBO_0011716 SubClassOf VBO_0000931.
VBO_0011717 is Class.
VBO_0011717 SubClassOf VBO_0000931.
VBO_0011718 is Class.
VBO_0011718 SubClassOf VBO_0000931.
VBO_0011719 is Class.
VBO_0011719 SubClassOf VBO_0000931.
VBO_0011720 is Class.
VBO_0011720 SubClassOf VBO_0000931.
VBO_0011721 is Class.
VBO_0011721 SubClassOf VBO_0000931.
VBO_0011722 is Class.
VBO_0011722 SubClassOf VBO_0000931.
VBO_0011723 is Class.
VBO_0011723 SubClassOf VBO_0000931.
VBO_0011724 is Class.
VBO_0011724 SubClassOf VBO_0000931.
VBO_0011725 is Class.
VBO_0011725 SubClassOf VBO_0000931.
VBO_0011726 is Class.
VBO_0011726 SubClassOf VBO_0000931.
VBO_0011727 is Class.
VBO_0011727 SubClassOf VBO_0000931.
VBO_0011728 is Class.
VBO_0011728 SubClassOf VBO_0000931.
VBO_0011729 is Class.
VBO_0011729 SubClassOf VBO_0000931.
VBO_0011730 is Class.
VBO_0011730 SubClassOf VBO_0000931.
VBO_0011731 is Class.
VBO_0011731 SubClassOf VBO_0000931.
VBO_0011732 is Class.
VBO_0011732 SubClassOf VBO_0000931.
VBO_0011734 is Class.
VBO_0011734 SubClassOf VBO_0000931.
VBO_0011735 is Class.
VBO_0011735 SubClassOf VBO_0000931.
VBO_0011736 is Class.
VBO_0011736 SubClassOf VBO_0000931.
VBO_0011737 is Class.
VBO_0011737 SubClassOf VBO_0000931.
VBO_0011738 is Class.
VBO_0011738 SubClassOf VBO_0000931.
VBO_0011739 is Class.
VBO_0011739 SubClassOf VBO_0000931.
VBO_0011740 is Class.
VBO_0011740 SubClassOf VBO_0000931.
VBO_0011741 is Class.
VBO_0011741 SubClassOf VBO_0000931.
VBO_0011742 is Class.
VBO_0011742 SubClassOf VBO_0000931.
VBO_0011743 is Class.
VBO_0011743 SubClassOf VBO_0000931.
VBO_0011744 is Class.
VBO_0011744 SubClassOf VBO_0000931.
VBO_0011745 is Class.
VBO_0011745 SubClassOf VBO_0000931.
VBO_0011746 is Class.
VBO_0011746 SubClassOf VBO_0000931.
VBO_0011747 is Class.
VBO_0011747 SubClassOf VBO_0000931.
VBO_0011749 is Class.
VBO_0011749 SubClassOf VBO_0000931.
VBO_0011752 is Class.
VBO_0011752 SubClassOf VBO_0000931.
VBO_0011753 is Class.
VBO_0011753 SubClassOf VBO_0000931.
VBO_0011754 is Class.
VBO_0011754 SubClassOf VBO_0000931.
VBO_0011760 is Class.
VBO_0011760 SubClassOf VBO_0000931.
VBO_0011761 is Class.
VBO_0011761 SubClassOf VBO_0000931.
VBO_0011762 is Class.
VBO_0011762 SubClassOf VBO_0000931.
VBO_0011764 is Class.
VBO_0011764 SubClassOf VBO_0000931.
VBO_0011765 is Class.
VBO_0011765 SubClassOf VBO_0000931.
VBO_0011769 is Class.
VBO_0011769 SubClassOf VBO_0000931.
VBO_0011770 is Class.
VBO_0011770 SubClassOf VBO_0000931.
VBO_0011771 is Class.
VBO_0011771 SubClassOf VBO_0000931.
VBO_0011772 is Class.
VBO_0011772 SubClassOf VBO_0000931.
VBO_0011773 is Class.
VBO_0011773 SubClassOf VBO_0000931.
VBO_0011774 is Class.
VBO_0011774 SubClassOf VBO_0000931.
VBO_0011775 is Class.
VBO_0011775 SubClassOf VBO_0000931.
VBO_0011778 is Class.
VBO_0011778 SubClassOf VBO_0000931.
VBO_0011779 is Class.
VBO_0011779 SubClassOf VBO_0000931.
VBO_0011780 is Class.
VBO_0011780 SubClassOf VBO_0000931.
VBO_0011781 is Class.
VBO_0011781 SubClassOf VBO_0000931.
VBO_0011784 is Class.
VBO_0011784 SubClassOf VBO_0000931.
VBO_0011786 is Class.
VBO_0011786 SubClassOf VBO_0000931.
VBO_0011787 is Class.
VBO_0011787 SubClassOf VBO_0000931.
VBO_0011788 is Class.
VBO_0011788 SubClassOf VBO_0000931.
VBO_0011789 is Class.
VBO_0011789 SubClassOf VBO_0000931.
VBO_0011790 is Class.
VBO_0011790 SubClassOf VBO_0000931.
VBO_0011791 is Class.
VBO_0011791 SubClassOf VBO_0000931.
VBO_0011792 is Class.
VBO_0011792 SubClassOf VBO_0000931.
VBO_0011793 is Class.
VBO_0011793 SubClassOf VBO_0000931.
VBO_0011794 is Class.
VBO_0011794 SubClassOf VBO_0000931.
VBO_0011795 is Class.
VBO_0011795 SubClassOf VBO_0000931.
VBO_0011796 is Class.
VBO_0011796 SubClassOf VBO_0000931.
VBO_0011797 is Class.
VBO_0011797 SubClassOf VBO_0000931.
VBO_0011798 is Class.
VBO_0011798 SubClassOf VBO_0000931.
VBO_0011799 is Class.
VBO_0011799 SubClassOf VBO_0000931.
VBO_0011800 is Class.
VBO_0011800 SubClassOf VBO_0000931.
VBO_0011801 is Class.
VBO_0011801 SubClassOf VBO_0000931.
VBO_0011802 is Class.
VBO_0011802 SubClassOf VBO_0000931.
VBO_0011803 is Class.
VBO_0011803 SubClassOf VBO_0000931.
VBO_0011804 is Class.
VBO_0011804 SubClassOf VBO_0000931.
VBO_0011805 is Class.
VBO_0011805 SubClassOf VBO_0000931.
VBO_0011806 is Class.
VBO_0011806 SubClassOf VBO_0000931.
VBO_0011807 is Class.
VBO_0011807 SubClassOf VBO_0000931.
VBO_0011808 is Class.
VBO_0011808 SubClassOf VBO_0000931.
VBO_0011809 is Class.
VBO_0011809 SubClassOf VBO_0000931.
VBO_0011811 is Class.
VBO_0011811 SubClassOf VBO_0000931.
VBO_0011812 is Class.
VBO_0011812 SubClassOf VBO_0000931.
VBO_0011814 is Class.
VBO_0011814 SubClassOf VBO_0000931.
VBO_0011815 is Class.
VBO_0011815 SubClassOf VBO_0000931.
VBO_0011817 is Class.
VBO_0011817 SubClassOf VBO_0000931.
VBO_0011819 is Class.
VBO_0011819 SubClassOf VBO_0000931.
VBO_0011821 is Class.
VBO_0011821 SubClassOf VBO_0000931.
VBO_0011822 is Class.
VBO_0011822 SubClassOf VBO_0000931.
VBO_0011823 is Class.
VBO_0011823 SubClassOf VBO_0000931.
VBO_0011826 is Class.
VBO_0011826 SubClassOf VBO_0000931.
VBO_0011827 is Class.
VBO_0011827 SubClassOf VBO_0000931.
VBO_0011829 is Class.
VBO_0011829 SubClassOf VBO_0000931.
VBO_0011830 is Class.
VBO_0011830 SubClassOf VBO_0000931.
VBO_0011831 is Class.
VBO_0011831 SubClassOf VBO_0000931.
VBO_0011832 is Class.
VBO_0011832 SubClassOf VBO_0000931.
VBO_0011834 is Class.
VBO_0011834 SubClassOf VBO_0000931.
VBO_0011835 is Class.
VBO_0011835 SubClassOf VBO_0000931.
VBO_0011839 is Class.
VBO_0011839 SubClassOf VBO_0000931.
VBO_0011840 is Class.
VBO_0011840 SubClassOf VBO_0000931.
VBO_0011841 is Class.
VBO_0011841 SubClassOf VBO_0000931.
VBO_0011842 is Class.
