www.obofoundry.org/ro/ro.# is ObjectProperty.
proper_part_of only nlx_subcell_20090202 DisjointWith sao936144858.
proper_part_of only nlx_subcell_20090202 DisjointWith sao1191319089.
proper_part_of only nlx_subcell_20090202 DisjointWith sao-188049490.
sao830981606 is Class.
sao830981606 SubClassOf sao6433132645.
sao830981606 DisjointWith sao787716553.
sao830981606 DisjointWith sao730872736.
sao830981606 DisjointWith sao628508602.
sao830981606 DisjointWith sao221389602.
sao830981606 DisjointWith sao1969557946.
sao830981606 DisjointWith sao1938587839.
sao830981606 DisjointWith sao1784069613.
sao830981606 DisjointWith sao1663586795.
sao830981606 DisjointWith sao1635329413.
sao830981606 DisjointWith sao1539965131.
sao830981606 DisjointWith sao1397492660.
sao830981606 DisjointWith sao120573470.
sao830981606 DisjointWith sao11978067.
sao830981606 DisjointWith sao1081228141.
sao830981606 DisjointWith sao101633890.
sao831502550 is Class.
sao831502550 SubClassOf sao895885284.
sao831502550 DisjointWith sao685712019.
sao831502550 DisjointWith sao195217619.
sao831502550 DisjointWith sao1253297813.
sao864921383 is Class.
sao864921383 DisjointWith sao895885284.
sao864921383 DisjointWith sao-82111036.
sao864921383 DisjointWith sao-1828894864.
sao866168499 is Class.
sao866168499 SubClassOf sao864921383.
sao866168499 DisjointWith sao1049717962.
sao866168499 DisjointWith sao1044911821.
sao866168499 DisjointWith sao-867568886.
sao866168499 DisjointWith sao-420949334.
sao866168499 DisjointWith sao-250931889.
sao8663416959 is Class.
sao8663416959 SubClassOf sao221389602.
sao873654461 is Class.
sao873654461 SubClassOf sao508165343.
sao877341397 is Class.
sao877341397 SubClassOf sao895885284.
sao877341397 DisjointWith sao1974433376.
sao885490876 is Class.
sao885490876 SubClassOf sao180601769.
sao895885284 is Class.
sao895885284 SubClassOf sao340271629.
sao895885284 DisjointWith sao864921383.
sao895885284 DisjointWith sao-82111036.
sao895885284 DisjointWith sao-1828894864.
sao901230115 is Class.
sao901230115 SubClassOf sao877341397.
sao9117790637 is Class.
sao9117790637 SubClassOf nlx_subcell_100315.
sao9137852997 is Class.
sao9137852997 SubClassOf sao9117790637.
sao914572699 is Class.
sao914572699 SubClassOf sao1395777368.
sao914572699 DisjointWith sao700839054.
sao924713546 is Class.
sao924713546 SubClassOf sao195217619.
sao936144858 is Class.
sao936144858 SubClassOf sao340271629,.
proper_part_of some sao1770195789 is www.obofoundry.org/ro/ro.#.
proper_part_of some sao1770195789 DisjointWith sao830092290.
proper_part_of some sao1770195789 DisjointWith sao1191319089.
proper_part_of some sao1770195789 DisjointWith sao-188049490.
sao937871668 is Class.
sao937871668 SubClassOf sao195217619.
sao9456487 is Class.
sao9456487 SubClassOf sao1546288504.
sao9456487 DisjointWith sao632188024.
sao9456487 DisjointWith sao138219748.
sao9456487 DisjointWith sao1039242387.
sao95019936 is Class.
sao95019936 SubClassOf sao1456184038.
sao9515821206 is Class.
sao9515821206 SubClassOf sao9137852997.
sao952483289 is Class.
sao952483289 SubClassOf sao1635329413.
sao952483289 DisjointWith sao2006047981.
sao952483289 DisjointWith sao1846835077.
sao952643730 is Class.
sao952643730 SubClassOf sao866168499.
sao9615155060 is Class.
sao9615155060 SubClassOf sao9137852997.
sao967812059 is Class.
sao967812059 SubClassOf sao120573470.
sao978443756 is Class.
sao978443756 SubClassOf sao830981606.
sao991156472 is Class.
sao991156472 DisjointWith sao508165343.
sao991156472 DisjointWith sao1970895398.
MaterialEntity is Class.
www.w3.org/2002/07/# is Class.
