has_template is ObjectProperty.
PSPHL_mRNA is Class.
PSPHL_mRNA SubClassOf UnprocessedmRNA.
PTEN_mRNA is Class.
PTEN_mRNA SubClassOf UnprocessedmRNA.
PTGS2_mRNA is Class.
PTGS2_mRNA SubClassOf UnprocessedmRNA.
PTGS_mRNA is Class.
PTGS_mRNA SubClassOf UnprocessedmRNA.
PTP_mRNA is Class.
PTP_mRNA SubClassOf UnprocessedmRNA.
Phospho-N-acetylglucosaminemutase_mRNA is Class.
Phospho-N-acetylglucosaminemutase_mRNA SubClassOf UnprocessedmRNA.
Phosphoglucoseisomerase_mRNA is Class.
Phosphoglucoseisomerase_mRNA SubClassOf UnprocessedmRNA.
RAC1_mRNA is Class.
RAC1_mRNA SubClassOf UnprocessedmRNA.
RAC_mRNA is Class.
RAC_mRNA SubClassOf UnprocessedmRNA.
RAF1_mRNA is Class.
RAF1_mRNA SubClassOf UnprocessedmRNA.
RAGE_mRNA is Class.
RAGE_mRNA SubClassOf UnprocessedmRNA.
RARETargetgenes_mRNA is Class.
RARETargetgenes_mRNA SubClassOf UnprocessedmRNA.
RAS_mRNA is Class.
RAS_mRNA SubClassOf UnprocessedmRNA.
RELN_mRNA is Class.
RELN_mRNA SubClassOf UnprocessedmRNA.
RHEB_mRNA is Class.
RHEB_mRNA SubClassOf UnprocessedmRNA.
RHOA_mRNA is Class.
RHOA_mRNA SubClassOf UnprocessedmRNA.
RIPK2_mRNA is Class.
RIPK2_mRNA SubClassOf UnprocessedmRNA.
ROR_mRNA is Class.
ROR_mRNA SubClassOf UnprocessedmRNA.
RPS6KA1_mRNA is Class.
RPS6KA1_mRNA SubClassOf UnprocessedmRNA.
RPS6KB_mRNA is Class.
RPS6KB_mRNA SubClassOf UnprocessedmRNA.
RTK_mRNA is Class.
RTK_mRNA SubClassOf UnprocessedmRNA.
RYR3_mRNA is Class.
RYR3_mRNA SubClassOf UnprocessedmRNA.
S100-calgranulin_mRNA is Class.
S100-calgranulin_mRNA SubClassOf UnprocessedmRNA.
SCAR_mRNA is Class.
SCAR_mRNA SubClassOf UnprocessedmRNA.
SDC2_mRNA is Class.
SDC2_mRNA SubClassOf UnprocessedmRNA.
SET_mRNA is Class.
SET_mRNA SubClassOf UnprocessedmRNA.
SFK_mRNA is Class.
SFK_mRNA SubClassOf UnprocessedmRNA.
SFRP_mRNA is Class.
SFRP_mRNA SubClassOf UnprocessedmRNA.
SHC1_mRNA is Class.
SHC1_mRNA SubClassOf UnprocessedmRNA.
SLC40A1_mRNA is Class.
SLC40A1_mRNA SubClassOf UnprocessedmRNA.
SLC8A_mRNA is Class.
SLC8A_mRNA SubClassOf UnprocessedmRNA.
SMPD2_mRNA is Class.
SMPD2_mRNA SubClassOf UnprocessedmRNA.
SMPD_mRNA is Class.
SMPD_mRNA SubClassOf UnprocessedmRNA.
SNCA_mRNA is Class.
SNCA_mRNA SubClassOf UnprocessedmRNA.
SOD_mRNA is Class.
SOD_mRNA SubClassOf UnprocessedmRNA.
SORL1_mRNA is Class.
SORL1_mRNA SubClassOf UnprocessedmRNA.
SPHK1_mRNA is Class.
SPHK1_mRNA SubClassOf UnprocessedmRNA.
SRA1_mRNA is Class.
SRA1_mRNA SubClassOf UnprocessedmRNA.
SRA2_mRNA is Class.
SRA2_mRNA SubClassOf UnprocessedmRNA.
SRB1_mRNA is Class.
SRB1_mRNA SubClassOf UnprocessedmRNA.
SRC_mRNA is Class.
SRC_mRNA SubClassOf UnprocessedmRNA.
SRI_mRNA is Class.
SRI_mRNA SubClassOf UnprocessedmRNA.
ST8SIA1_mRNA is Class.
ST8SIA1_mRNA SubClassOf UnprocessedmRNA.
STK11_mRNA is Class.
STK11_mRNA SubClassOf UnprocessedmRNA.
STXBP1_mRNA is Class.
STXBP1_mRNA SubClassOf UnprocessedmRNA.
STX_mRNA is Class.
STX_mRNA SubClassOf UnprocessedmRNA.
SUOX_mRNA is Class.
SUOX_mRNA SubClassOf UnprocessedmRNA.
TFR_mRNA is Class.
TFR_mRNA SubClassOf UnprocessedmRNA.
TF_mRNA is Class.
TF_mRNA SubClassOf UnprocessedmRNA.
THSD1_mRNA is Class.
THSD1_mRNA SubClassOf UnprocessedmRNA.
TH_mRNA is Class.
TH_mRNA SubClassOf UnprocessedmRNA.
TIMP1_mRNA is Class.
TIMP1_mRNA SubClassOf UnprocessedmRNA.
TJ_mRNA is Class.
TJ_mRNA SubClassOf UnprocessedmRNA.
TLR2_mRNA is Class.
TLR2_mRNA SubClassOf UnprocessedmRNA.
TLR3_mRNA is Class.
TLR3_mRNA SubClassOf UnprocessedmRNA.
TLR4_mRNA is Class.
TLR4_mRNA SubClassOf UnprocessedmRNA.
TLR8_mRNA is Class.
TLR8_mRNA SubClassOf UnprocessedmRNA.
TLR9_mRNA is Class.
TLR9_mRNA SubClassOf UnprocessedmRNA.
TLR_mRNA is Class.
TLR_mRNA SubClassOf UnprocessedmRNA.
TNFA_mRNA is Class.
TNFA_mRNA SubClassOf UnprocessedmRNA.
TNFB_mRNA is Class.
TNFB_mRNA SubClassOf UnprocessedmRNA.
TNFRSF1A_mRNA is Class.
TNFRSF1A_mRNA SubClassOf UnprocessedmRNA.
TNF_mRNA is Class.
TNF_mRNA SubClassOf UnprocessedmRNA.
TP53_mRNA is Class.
TP53_mRNA SubClassOf UnprocessedmRNA.
TPH_mRNA is Class.
TPH_mRNA SubClassOf UnprocessedmRNA.
TREM2_mRNA is Class.
TREM2_mRNA SubClassOf UnprocessedmRNA.
TRNAU1_mRNA is Class.
TRNAU1_mRNA SubClassOf UnprocessedmRNA.
TSC_mRNA is Class.
TSC_mRNA SubClassOf UnprocessedmRNA.
TST_mRNA is Class.
TST_mRNA SubClassOf UnprocessedmRNA.
TTR_mRNA is Class.
TTR_mRNA SubClassOf UnprocessedmRNA.
TUB_mRNA is Class.
TUB_mRNA SubClassOf UnprocessedmRNA.
TXN_mRNA is Class.
TXN_mRNA SubClassOf UnprocessedmRNA.
UBA1_mRNA is Class.
UBA1_mRNA SubClassOf UnprocessedmRNA.
UBA3_mRNA is Class.
UBA3_mRNA SubClassOf UnprocessedmRNA.
UBE2M_mRNA is Class.
UBE2M_mRNA SubClassOf UnprocessedmRNA.
UBE2_mRNA is Class.
UBE2_mRNA SubClassOf UnprocessedmRNA.
UB_mRNA is Class.
UB_mRNA SubClassOf UnprocessedmRNA.
ULK1_mRNA is Class.
ULK1_mRNA SubClassOf UnprocessedmRNA.
UNC13A_mRNA is Class.
UNC13A_mRNA SubClassOf UnprocessedmRNA.
UQCR_mRNA is Class.
UQCR_mRNA SubClassOf UnprocessedmRNA.
USP17L2_mRNA is Class.
USP17L2_mRNA SubClassOf UnprocessedmRNA.
UnknownCASP_mRNA is Class.
UnknownCASP_mRNA SubClassOf UnprocessedmRNA.
UnknownTF_mRNA is Class.
UnknownTF_mRNA SubClassOf UnprocessedmRNA.
UnknownWnt-targetgenes_mRNA is Class.
UnknownWnt-targetgenes_mRNA SubClassOf UnprocessedmRNA.
UnprocessedmRNA is Class.
UnprocessedmRNA EquivalentTo mRNA and participant_in_native_form.
UnprocessedmRNA SubClassOf mRNA,.
UnprocessedmRNA SubClassOf participant_in_native_form,.
UnprocessedmRNA SubClassOf has_template some gene,.
UnprocessedmRNA SubClassOf has_template some.
UnprocessedmRNA SubClassOf (MAP2K3_mRNA and gene),.
UnprocessedmRNA SubClassOf has_template only MAP2K3_mRNA.
UnprocessedmRNA DisjointWith mRNA and participant_in_native_form.
Uridinedi-phospho-N-acetylglucosaminepyrophosphorylase_mRNA is Class.
Uridinedi-phospho-N-acetylglucosaminepyrophosphorylase_mRNA SubClassOf UnprocessedmRNA.
VCAM1_mRNA is Class.
VCAM1_mRNA SubClassOf UnprocessedmRNA.
VEGFA_mRNA is Class.
VEGFA_mRNA SubClassOf UnprocessedmRNA.
VHL_mRNA is Class.
VHL_mRNA SubClassOf UnprocessedmRNA.
VLDLR_mRNA is Class.
VLDLR_mRNA SubClassOf UnprocessedmRNA.
WIF1_mRNA is Class.
WIF1_mRNA SubClassOf UnprocessedmRNA.
WISP1_mRNA is Class.
WISP1_mRNA SubClassOf UnprocessedmRNA.
WNT1_mRNA is Class.
WNT1_mRNA SubClassOf UnprocessedmRNA.
WNT3A_mRNA is Class.
WNT3A_mRNA SubClassOf UnprocessedmRNA.
WNT5A_mRNA is Class.
WNT5A_mRNA SubClassOf UnprocessedmRNA.
WNT7A_mRNA is Class.
WNT7A_mRNA SubClassOf UnprocessedmRNA.
WNT_mRNA is Class.
WNT_mRNA SubClassOf UnprocessedmRNA.
XBP1_mRNA is Class.
XBP1_mRNA SubClassOf UnprocessedmRNA.
ZAP70_mRNA is Class.
ZAP70_mRNA SubClassOf UnprocessedmRNA.
carrierProtein_mRNA is Class.
carrierProtein_mRNA SubClassOf UnprocessedmRNA.
ceramidase_mRNA is Class.
ceramidase_mRNA SubClassOf UnprocessedmRNA.
cytokine_mRNA is Class.
cytokine_mRNA SubClassOf UnprocessedmRNA.
gro_mRNA is Class.
gro_mRNA SubClassOf UnprocessedmRNA.
humanin_mRNA is Class.
humanin_mRNA SubClassOf UnprocessedmRNA.
iNOS_mRNA is Class.
iNOS_mRNA SubClassOf UnprocessedmRNA.
inflammasome_mRNA is Class.
inflammasome_mRNA SubClassOf UnprocessedmRNA.
mutantAPP_mRNA is Class.
mutantAPP_mRNA SubClassOf UnprocessedmRNA.
mutantPSEN_mRNA is Class.
mutantPSEN_mRNA SubClassOf UnprocessedmRNA.
oxidase_mRNA is Class.
oxidase_mRNA SubClassOf UnprocessedmRNA.
p35_mRNA is Class.
p35_mRNA SubClassOf UnprocessedmRNA.
phosphatase_mRNA is Class.
phosphatase_mRNA SubClassOf UnprocessedmRNA.
phospholipaseA2_mRNA is Class.
phospholipaseA2_mRNA SubClassOf UnprocessedmRNA.
phospholipaseC_mRNA is Class.
phospholipaseC_mRNA SubClassOf UnprocessedmRNA.
phospholipaseD_mRNA is Class.
phospholipaseD_mRNA SubClassOf UnprocessedmRNA.
polo-kinase_mRNA is Class.
polo-kinase_mRNA SubClassOf UnprocessedmRNA.
proMMP9_mRNA is Class.
proMMP9_mRNA SubClassOf UnprocessedmRNA.
proNGF_mRNA is Class.
proNGF_mRNA SubClassOf UnprocessedmRNA.
selectiveChaperone_mRNA is Class.
selectiveChaperone_mRNA SubClassOf UnprocessedmRNA.
speck-likeprotein_mRNA is Class.
speck-likeprotein_mRNA SubClassOf UnprocessedmRNA.
thiosulfateThiolsulfurtransferase_mRNA is Class.
thiosulfateThiolsulfurtransferase_mRNA SubClassOf UnprocessedmRNA.
unknown_mRNA is Class.
unknown_mRNA SubClassOf UnprocessedmRNA.
gene is Class.
gene DisjointWith MAP2K3_mRNA.
mRNA is Class.
mRNA SubClassOf MAP2K3_mRNA.
participant_in_native_form is Class.
ALDH2 is Class.
ALDH2 SubClassOf UnprocessedmRNA.
www.w3.org/2002/07/# is Class.
